TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMii001D10.fa	149	172	edit-only	NOHIT
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	F01	149	172	edit-only	NOHIT
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMini002_B02_TbMni002aA01.g1_015.ab1	151	172	edit-only	NOHIT
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	437718_TRBINVRPTF	152	174	edit-only	NOHIT
BS_9F06primer.ab1	4	80	130	295	80	130	TbMini002_B02_TbMni002aA01.g1_015.ab1	167	188	edit-only	NOHIT
BS_9F06primer.ab1	4	80	130	295	80	130	437718_TRBINVRPTF	168	190	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMini002_D04_TbMni002aB02.g1_014.ab1	56	78	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMii001C09.fa	69	91	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMii001H01.fa	69	91	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMii002F08.fa	69	91	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMini002_D07_TbMni002aB04.b1_030.ab1	69	91	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMini002_F12_TbMni002aC06.g1_044.ab1	69	91	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMini002_I24_TbMini002E12.g1_088.ab1	69	91	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMini002_L02_TbMni002aF01.g1_005.ab1	69	91	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMini002_M18_TbMini002G09.g1_067.ab1	69	91	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMii001D06.fa	69	91	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMii001H12.fa	69	91	edit-only	NOHIT
TO161203_A18_B7A09M13R_079.ab1	4	31	4	325	0	0	TbMini002_D08_TbMni002aB04.g1_030.ab1	69	91	edit-only	NOHIT
