TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	437716_TRBINVRPTD	648	669	pre-edit-only	NOHIT
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	TbMini002_I01_TbMini002E01.b1_007.ab1	251	273	pre-edit-only	NOHIT
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	437716_TRBINVRPTD	629	650	pre-edit-only	NOHIT
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	TbMini002_I01_TbMini002E01.b1_007.ab1	246	268	pre-edit-only	NOHIT
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	437716_TRBINVRPTD	624	645	pre-edit-only	NOHIT
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_I01_TbMini002E01.b1_007.ab1	270	292	pre-edit-only	NOHIT
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_I01_TbMini002E01.b1_007.ab1	273	295	pre-edit-only	NOHIT
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	437716_TRBINVRPTD	651	672	pre-edit-only	NOHIT
TO2604042_I12_ND7PCE06M13R_040.ab1	137	745	79	211	0	0	TbMini002_I01_TbMini002E01.b1_007.ab1	276	298	pre-edit-only	NOHIT
TO2604042_I12_ND7PCE06M13R_040.ab1	137	745	79	211	0	0	437716_TRBINVRPTD	652	673	pre-edit-only	NOHIT
TO2604042_E06_ND7PCC03M13R_027.ab1	138	734	77	209	0	0	TbMini002_I01_TbMini002E01.b1_007.ab1	274	296	pre-edit-only	NOHIT
TO2604042_E06_ND7PCC03M13R_027.ab1	138	734	77	209	0	0	437716_TRBINVRPTD	652	673	pre-edit-only	NOHIT
TO2604042_P14_ND7BSH07M13R_049.ab1	1	584	609	845	584	609	TbMini002_I01_TbMini002E01.b1_007.ab1	247	269	pre-edit-only	NOHIT
TO2604042_D18_ND7BSB09M13R_077.ab1	131	206	43	556	0	0	TbMii001E12.fa	212	234	edit-only	NOHIT
TO2604042_M12_ND7PCG06M13R_036.ab1	154	813	86	225	0	0	TbMini002_I01_TbMini002E01.b1_007.ab1	289	311	pre-edit-only	NOHIT
TO2604042_M12_ND7PCG06M13R_036.ab1	154	813	86	225	0	0	437716_TRBINVRPTD	667	688	pre-edit-only	NOHIT
TO2604042_J04_ND7BSE02M13R_008.ab1	27	43	63	179	43	63	TbMii002D01.fa	80	106	edit-only	NOHIT
TO2604042_J04_ND7BSE02M13R_008.ab1	27	43	63	179	43	63	TbMini002_F19_TbMni002aC10.b1_076.ab1	80	106	edit-only	NOHIT
TO2604042_J04_ND7BSE02M13R_008.ab1	27	43	63	179	43	63	TbMini002_P05_TbMni002aH03.b1_017.ab1	80	106	edit-only	NOHIT
TO2604042_J04_ND7BSE02M13R_008.ab1	27	43	63	179	43	63	TbMini002_P06_TbMni002aH03.g1_017.ab1	80	106	edit-only	NOHIT
TO2604042_J04_ND7BSE02M13R_008.ab1	27	43	63	179	43	63	H08	80	106	edit-only	NOHIT
TO2604042_J04_ND7BSE02M13R_008.ab1	27	43	63	179	43	63	H09	80	106	edit-only	NOHIT
